year,round,from_country_id,to_country_id,total_points,tele_points,jury_points
2024,final,ALB,CHE,15,3,12
2024,final,ALB,FRA,6,6,0
2024,final,ALB,HRV,15,12,3
2024,final,ALB,ITA,18,8,10
2024,final,ALB,UKR,7,7,0
2024,final,ALB,IRL,0,0,0
2024,final,ALB,PRT,5,0,5
2024,final,ALB,SWE,0,0,0
2024,final,ALB,ARM,9,1,8
2024,final,ALB,DEU,0,0,0
2024,final,ALB,LUX,4,0,4
2024,final,ALB,ISR,10,10,0
2024,final,ALB,GBR,0,0,0
2024,final,ALB,GRC,11,4,7
2024,final,ALB,LVA,0,0,0
2024,final,ALB,CYP,5,5,0
2024,final,ALB,LTU,0,0,0
2024,final,ALB,SRB,3,2,1
2024,final,ALB,ESP,0,0,0
2024,final,ALB,AUT,0,0,0
2024,final,ALB,GEO,0,0,0
2024,final,ALB,SVN,2,0,2
2024,final,ALB,NOR,6,0,6
2024,final,ALB,FIN,0,0,0
2024,final,ALB,EST,0,0,0
2024,final,ARM,CHE,15,8,7
2024,final,ARM,FRA,24,12,12
2024,final,ARM,HRV,13,7,6
2024,final,ARM,ITA,14,6,8
2024,final,ARM,UKR,3,3,0
2024,final,ARM,IRL,2,2,0
2024,final,ARM,PRT,10,0,10
2024,final,ARM,SWE,0,0,0
2024,final,ARM,ARM,0,0,0
2024,final,ARM,DEU,1,0,1
2024,final,ARM,LUX,0,0,0
2024,final,ARM,ISR,1,1,0
2024,final,ARM,GBR,0,0,0
2024,final,ARM,GRC,14,10,4
2024,final,ARM,LVA,0,0,0
2024,final,ARM,CYP,6,4,2
2024,final,ARM,LTU,0,0,0
2024,final,ARM,SRB,5,0,5
2024,final,ARM,ESP,0,0,0
2024,final,ARM,AUT,0,0,0
2024,final,ARM,GEO,8,5,3
2024,final,ARM,SVN,0,0,0
2024,final,ARM,NOR,0,0,0
2024,final,ARM,FIN,0,0,0
2024,final,ARM,EST,0,0,0
2024,final,AUS,CHE,17,7,10
2024,final,AUS,FRA,2,2,0
2024,final,AUS,HRV,18,10,8
2024,final,AUS,ITA,7,0,7
2024,final,AUS,UKR,7,6,1
2024,final,AUS,IRL,20,8,12
2024,final,AUS,PRT,0,0,0
2024,final,AUS,SWE,5,0,5
2024,final,AUS,ARM,1,1,0
2024,final,AUS,DEU,0,0,0
2024,final,AUS,LUX,2,0,2
2024,final,AUS,ISR,12,12,0
2024,final,AUS,GBR,4,0,4
2024,final,AUS,GRC,3,3,0
2024,final,AUS,LVA,0,0,0
2024,final,AUS,CYP,11,5,6
2024,final,AUS,LTU,0,0,0
2024,final,AUS,SRB,0,0,0
2024,final,AUS,ESP,0,0,0
2024,final,AUS,AUT,0,0,0
2024,final,AUS,GEO,0,0,0
2024,final,AUS,SVN,0,0,0
2024,final,AUS,NOR,0,0,0
2024,final,AUS,FIN,7,4,3
2024,final,AUS,EST,0,0,0
2024,final,AUT,HRV,20,12,8
2024,final,AUT,ISR,10,10,0
2024,final,AUT,UKR,13,7,6
2024,final,AUT,FRA,11,6,5
2024,final,AUT,CHE,20,8,12
2024,final,AUT,IRL,5,2,3
2024,final,AUT,ITA,11,1,10
2024,final,AUT,GRC,0,0,0
2024,final,AUT,ARM,10,3,7
2024,final,AUT,LTU,0,0,0
2024,final,AUT,SWE,0,0,0
2024,final,AUT,CYP,0,0,0
2024,final,AUT,EST,0,0,0
2024,final,AUT,SRB,5,5,0
2024,final,AUT,FIN,0,0,0
2024,final,AUT,LVA,0,0,0
2024,final,AUT,LUX,0,0,0
2024,final,AUT,GEO,0,0,0
2024,final,AUT,DEU,4,4,0
2024,final,AUT,PRT,0,0,0
2024,final,AUT,SVN,0,0,0
2024,final,AUT,ESP,4,0,4
2024,final,AUT,AUT,0,0,0
2024,final,AUT,NOR,1,0,1
2024,final,AUT,GBR,0,0,0
2024,final,AZE,HRV,16,12,4
2024,final,AZE,ISR,7,7,0
2024,final,AZE,UKR,9,8,1
2024,final,AZE,FRA,2,2,0
2024,final,AZE,CHE,22,10,12
2024,final,AZE,IRL,14,4,10
2024,final,AZE,ITA,9,3,6
2024,final,AZE,GRC,1,1,0
2024,final,AZE,ARM,0,0,0
2024,final,AZE,LTU,0,0,0
2024,final,AZE,SWE,5,0,5
2024,final,AZE,CYP,8,6,2
2024,final,AZE,EST,0,0,0
2024,final,AZE,SRB,0,0,0
2024,final,AZE,FIN,0,0,0
2024,final,AZE,LVA,0,0,0
2024,final,AZE,LUX,8,0,8
2024,final,AZE,GEO,12,5,7
2024,final,AZE,DEU,0,0,0
2024,final,AZE,PRT,0,0,0
2024,final,AZE,SVN,3,0,3
2024,final,AZE,ESP,0,0,0
2024,final,AZE,AUT,0,0,0
2024,final,AZE,NOR,0,0,0
2024,final,AZE,GBR,0,0,0
2024,final,BEL,HRV,8,8,0
2024,final,BEL,ISR,17,12,5
2024,final,BEL,UKR,8,7,1
2024,final,BEL,FRA,22,10,12
2024,final,BEL,CHE,16,6,10
2024,final,BEL,IRL,6,2,4
2024,final,BEL,ITA,10,3,7
2024,final,BEL,GRC,4,4,0
2024,final,BEL,ARM,5,5,0
2024,final,BEL,LTU,0,0,0
2024,final,BEL,SWE,3,0,3
2024,final,BEL,CYP,0,0,0
2024,final,BEL,EST,0,0,0
2024,final,BEL,SRB,0,0,0
2024,final,BEL,FIN,0,0,0
2024,final,BEL,LVA,0,0,0
2024,final,BEL,LUX,1,1,0
2024,final,BEL,GEO,0,0,0
2024,final,BEL,DEU,8,0,8
2024,final,BEL,PRT,2,0,2
2024,final,BEL,SVN,0,0,0
2024,final,BEL,ESP,0,0,0
2024,final,BEL,AUT,0,0,0
2024,final,BEL,NOR,0,0,0
2024,final,BEL,GBR,6,0,6
2024,final,HRV,HRV,0,0,0
2024,final,HRV,ISR,0,0,0
2024,final,HRV,UKR,15,8,7
2024,final,HRV,FRA,10,6,4
2024,final,HRV,CHE,1,1,0
2024,final,HRV,IRL,13,5,8
2024,final,HRV,ITA,13,7,6
2024,final,HRV,GRC,0,0,0
2024,final,HRV,ARM,3,3,0
2024,final,HRV,LTU,0,0,0
2024,final,HRV,SWE,4,2,2
2024,final,HRV,CYP,1,0,1
2024,final,HRV,EST,4,4,0
2024,final,HRV,SRB,15,12,3
2024,final,HRV,FIN,0,0,0
2024,final,HRV,LVA,0,0,0
2024,final,HRV,LUX,5,0,5
2024,final,HRV,GEO,0,0,0
2024,final,HRV,DEU,0,0,0
2024,final,HRV,PRT,12,0,12
2024,final,HRV,SVN,20,10,10
2024,final,HRV,ESP,0,0,0
2024,final,HRV,AUT,0,0,0
2024,final,HRV,NOR,0,0,0
2024,final,HRV,GBR,0,0,0
2024,final,CYP,HRV,17,5,12
2024,final,CYP,ISR,18,10,8
2024,final,CYP,UKR,9,8,1
2024,final,CYP,FRA,17,7,10
2024,final,CYP,CHE,12,6,6
2024,final,CYP,IRL,2,2,0
2024,final,CYP,ITA,6,3,3
2024,final,CYP,GRC,12,12,0
2024,final,CYP,ARM,4,4,0
2024,final,CYP,LTU,0,0,0
2024,final,CYP,SWE,3,1,2
2024,final,CYP,CYP,0,0,0
2024,final,CYP,EST,0,0,0
2024,final,CYP,SRB,5,0,5
2024,final,CYP,FIN,0,0,0
2024,final,CYP,LVA,7,0,7
2024,final,CYP,LUX,4,0,4
2024,final,CYP,GEO,0,0,0
2024,final,CYP,DEU,0,0,0
2024,final,CYP,PRT,0,0,0
2024,final,CYP,SVN,0,0,0
2024,final,CYP,ESP,0,0,0
2024,final,CYP,AUT,0,0,0
2024,final,CYP,NOR,0,0,0
2024,final,CYP,GBR,0,0,0
2024,final,CZE,HRV,10,8,2
2024,final,CZE,ISR,10,10,0
2024,final,CZE,UKR,24,12,12
2024,final,CZE,FRA,8,4,4
2024,final,CZE,CHE,17,7,10
2024,final,CZE,IRL,13,6,7
2024,final,CZE,ITA,0,0,0
2024,final,CZE,GRC,2,2,0
2024,final,CZE,ARM,11,5,6
2024,final,CZE,LTU,1,1,0
2024,final,CZE,SWE,11,3,8
2024,final,CZE,CYP,0,0,0
2024,final,CZE,EST,0,0,0
2024,final,CZE,SRB,0,0,0
2024,final,CZE,FIN,0,0,0
2024,final,CZE,LVA,0,0,0
2024,final,CZE,LUX,0,0,0
2024,final,CZE,GEO,0,0,0
2024,final,CZE,DEU,5,0,5
2024,final,CZE,PRT,3,0,3
2024,final,CZE,SVN,0,0,0
2024,final,CZE,ESP,0,0,0
2024,final,CZE,AUT,0,0,0
2024,final,CZE,NOR,1,0,1
2024,final,CZE,GBR,0,0,0
2024,final,DNK,HRV,20,12,8
2024,final,DNK,ISR,8,8,0
2024,final,DNK,UKR,16,10,6
2024,final,DNK,FRA,17,7,10
2024,final,DNK,CHE,17,5,12
2024,final,DNK,IRL,10,3,7
2024,final,DNK,ITA,0,0,0
2024,final,DNK,GRC,0,0,0
2024,final,DNK,ARM,3,0,3
2024,final,DNK,LTU,1,1,0
2024,final,DNK,SWE,11,6,5
2024,final,DNK,CYP,0,0,0
2024,final,DNK,EST,0,0,0
2024,final,DNK,SRB,2,0,2
2024,final,DNK,FIN,2,2,0
2024,final,DNK,LVA,8,4,4
2024,final,DNK,LUX,1,0,1
2024,final,DNK,GEO,0,0,0
2024,final,DNK,DEU,0,0,0
2024,final,DNK,PRT,0,0,0
2024,final,DNK,SVN,0,0,0
2024,final,DNK,ESP,0,0,0
2024,final,DNK,AUT,0,0,0
2024,final,DNK,NOR,0,0,0
2024,final,DNK,GBR,0,0,0
2024,final,EST,HRV,18,10,8
2024,final,EST,ISR,11,6,5
2024,final,EST,UKR,22,12,10
2024,final,EST,FRA,12,5,7
2024,final,EST,CHE,19,7,12
2024,final,EST,IRL,2,2,0
2024,final,EST,ITA,3,0,3
2024,final,EST,GRC,0,0,0
2024,final,EST,ARM,0,0,0
2024,final,EST,LTU,6,4,2
2024,final,EST,SWE,7,1,6
2024,final,EST,CYP,0,0,0
2024,final,EST,EST,0,0,0
2024,final,EST,SRB,0,0,0
