year,from_country_id,to_country_id,fixed_effects
1957,AUT,NLD,
1958,AUT,NLD,
1959,AUT,NLD,
1960,AUT,NLD,
1961,AUT,NLD,
1962,AUT,NLD,
1963,AUT,NLD,
1964,AUT,NLD,
1965,AUT,NLD,
1966,AUT,NLD,
1967,AUT,NLD,
1968,AUT,NLD,
1971,AUT,NLD,
1972,AUT,NLD,
1976,AUT,NLD,
1977,AUT,NLD,
1978,AUT,NLD,
1979,AUT,NLD,
1980,AUT,NLD,
1981,AUT,NLD,
1982,AUT,NLD,
1983,AUT,NLD,
1984,AUT,NLD,
1986,AUT,NLD,
1987,AUT,NLD,
1988,AUT,NLD,
1989,AUT,NLD,
1990,AUT,NLD,
1992,AUT,NLD,
1993,AUT,NLD,
1994,AUT,NLD,
1996,AUT,NLD,-.0200377811100184
1997,AUT,NLD,-.037662966907539
1999,AUT,NLD,-.0155400793449521
2000,AUT,NLD,-.0535348022776716
2003,AUT,NLD,-.0303971988941222
2004,AUT,NLD,-.0347061727391723
2013,AUT,NLD,-.059319897232194
2014,AUT,NLD,-.0408449556356921
2016,AUT,NLD,-.0534877222830138
2017,AUT,NLD,-.0661099963150974
2018,AUT,NLD,-.053501634808142
2019,AUT,NLD,-.0530337634826169
2021,AUT,NLD,-.0560196835590241
2022,AUT,NLD,-.0648707607888808
2025,AUT,NLD,
1957,AUT,FRA,
1958,AUT,FRA,
1959,AUT,FRA,
1960,AUT,FRA,
1961,AUT,FRA,
1962,AUT,FRA,
1963,AUT,FRA,
1964,AUT,FRA,
1965,AUT,FRA,
1966,AUT,FRA,
1967,AUT,FRA,
1968,AUT,FRA,
1971,AUT,FRA,
1972,AUT,FRA,
1976,AUT,FRA,
1977,AUT,FRA,
1978,AUT,FRA,
1979,AUT,FRA,
1980,AUT,FRA,
1981,AUT,FRA,
1983,AUT,FRA,
1984,AUT,FRA,
1985,AUT,FRA,
1986,AUT,FRA,
1987,AUT,FRA,
1988,AUT,FRA,
1989,AUT,FRA,
1990,AUT,FRA,
1991,AUT,FRA,
1992,AUT,FRA,
1993,AUT,FRA,
1994,AUT,FRA,
1995,AUT,FRA,-.1109721145071577
1996,AUT,FRA,-.1018486632000362
1997,AUT,FRA,-.1194738489975575
1999,AUT,FRA,-.0973509614349707
2000,AUT,FRA,-.1353456843676895
2002,AUT,FRA,-.1155785422559061
2003,AUT,FRA,-.1122080809841407
2004,AUT,FRA,-.1165170548291911
2005,AUT,FRA,-.1223602806858065
2007,AUT,FRA,-.1133550658172938
2011,AUT,FRA,-.1180483579665308
2012,AUT,FRA,-.1462211695951249
2013,AUT,FRA,-.1411307793222125
2014,AUT,FRA,-.12265583772571
2015,AUT,FRA,-.1277467222750135
2016,AUT,FRA,-.1352986043730326
2017,AUT,FRA,-.1479208784051157
2018,AUT,FRA,-.1353125168981608
2019,AUT,FRA,-.1348446455726354
2021,AUT,FRA,-.1378305656490428
2022,AUT,FRA,-.1466816428788992
2023,AUT,FRA,-.1275214233388253
2024,AUT,FRA,-.1139532641702963
2025,AUT,FRA,
2026,AUT,FRA,
1957,AUT,DNK,
1958,AUT,DNK,
1959,AUT,DNK,
1960,AUT,DNK,
1961,AUT,DNK,
1962,AUT,DNK,
1963,AUT,DNK,
1964,AUT,DNK,
1965,AUT,DNK,
1966,AUT,DNK,
1978,AUT,DNK,
1979,AUT,DNK,
1980,AUT,DNK,
1981,AUT,DNK,
1982,AUT,DNK,
1983,AUT,DNK,
1984,AUT,DNK,
1985,AUT,DNK,
1986,AUT,DNK,
1987,AUT,DNK,
1988,AUT,DNK,
1989,AUT,DNK,
1990,AUT,DNK,
1991,AUT,DNK,
1992,AUT,DNK,
1993,AUT,DNK,
1995,AUT,DNK,
1997,AUT,DNK,
1999,AUT,DNK,
2000,AUT,DNK,
2002,AUT,DNK,
2005,AUT,DNK,
2011,AUT,DNK,.0211870366836027
2012,AUT,DNK,-.006985774944992
2013,AUT,DNK,-.0018953846720791
2014,AUT,DNK,.0165795569244239
2017,AUT,DNK,-.0086854837549823
2018,AUT,DNK,.0039228777519726
2019,AUT,DNK,.0043907490774981
2025,AUT,DNK,
2026,AUT,DNK,
1957,AUT,LUX,
1958,AUT,LUX,
1960,AUT,LUX,
1961,AUT,LUX,
1962,AUT,LUX,
1963,AUT,LUX,
1964,AUT,LUX,
1965,AUT,LUX,
1966,AUT,LUX,
1967,AUT,LUX,
1968,AUT,LUX,
1971,AUT,LUX,
1972,AUT,LUX,
1976,AUT,LUX,
1977,AUT,LUX,
1978,AUT,LUX,
1979,AUT,LUX,
1980,AUT,LUX,
1981,AUT,LUX,
1982,AUT,LUX,
1983,AUT,LUX,
1984,AUT,LUX,
1985,AUT,LUX,
