="",="(1)",="(2)",="(3)",="(4)"
="",="Model 1",="Model 2",="Model 3",="Model 4"
="distw",="-0.000***",="-0.000***",="-0.000***",="-0.000***"
="",="(0.000)",="(0.000)",="(0.000)",="(0.000)"
="contig",="0.060***",="0.059***",="0.027***",="0.024**"
="",="(0.007)",="(0.010)",="(0.010)",="(0.010)"
="comlang_off",="0.005",="0.038***",="0.032**",="0.032**"
="",="(0.009)",="(0.013)",="(0.015)",="(0.015)"
="colony",="0.111***",="0.100***",="0.050***",=""
="",="(0.010)",="(0.013)",="(0.014)",=""
="from_log_gdp_usd",="",="-0.007",="-0.006",="-0.004"
="",="",="(0.010)",="(0.012)",="(0.012)"
="to_log_gdp_usd",="",="-0.006",="0.008",="0.009"
="",="",="(0.010)",="(0.011)",="(0.012)"
="gdp_similarity",="",="-0.244***",="-0.252***",="-0.239***"
="",="",="(0.016)",="(0.020)",="(0.020)"
="log_trade_openness",="",="0.052***",="0.057***",="0.049***"
="",="",="(0.002)",="(0.003)",="(0.003)"
="migration_intensity",="",="",="3.010***",="2.544***"
="",="",="",="(0.343)",="(0.320)"
="col45",="",="",="",="0.086***"
="",="",="",="",="(0.022)"
="former_soviet",="",="",="",="0.068***"
="",="",="",="",="(0.015)"
="former_yugoslav",="",="",="",="0.204***"
="",="",="",="",="(0.041)"
="scandinavian",="",="",="",="0.167***"
="",="",="",="",="(0.019)"
="balkan",="",="",="",="-0.023"
="",="",="",="",="(0.015)"
="eu_membership",="",="",="",="-0.010"
="",="",="",="",="(0.007)"
="_cons",="0.303***",="0.846***",="0.792***",="0.718***"
="",="(0.006)",="(0.078)",="(0.093)",="(0.094)"
="Observations",="36493.000",="22265.000",="17197.000",="17197.000"
="Within R-Squared",="0.040",="0.092",="0.108",="0.116"
="Standard errors in parentheses"
="* p<0.10, ** p<0.05, *** p<0.01"
