="",="(1)",="(2)",="(3)"
="",="Normalised Points",="Jury Points",="Televote Points"
="distw",="-0.000***",="-0.000**",="-0.000***"
="",="(0.000)",="(0.000)",="(0.000)"
="contig",="0.024**",="-0.154",="0.168"
="",="(0.010)",="(0.225)",="(0.220)"
="comlang_off",="0.032**",="0.456",="0.484*"
="",="(0.015)",="(0.315)",="(0.286)"
="col45",="0.086***",="2.109***",="1.543***"
="",="(0.022)",="(0.638)",="(0.562)"
="from_log_gdp_usd",="-0.004",="-0.218",="0.285"
="",="(0.012)",="(0.636)",="(0.601)"
="to_log_gdp_usd",="0.009",="-1.907***",="-0.874*"
="",="(0.012)",="(0.565)",="(0.512)"
="gdp_similarity",="-0.239***",="-1.005*",="-4.428***"
="",="(0.020)",="(0.522)",="(0.465)"
="log_trade_openness",="0.049***",="0.341***",="0.665***"
="",="(0.003)",="(0.066)",="(0.060)"
="former_soviet",="0.068***",="0.339",="0.555*"
="",="(0.015)",="(0.316)",="(0.301)"
="former_yugoslav",="0.204***",="0.597",="6.389***"
="",="(0.041)",="(1.314)",="(0.852)"
="scandinavian",="0.167***",="0.644",="1.882***"
="",="(0.019)",="(0.421)",="(0.485)"
="balkan",="-0.023",="-0.407",="-0.951***"
="",="(0.015)",="(0.399)",="(0.364)"
="eu_membership",="-0.010",="-0.253",="-0.187"
="",="(0.007)",="(0.218)",="(0.211)"
="migration_intensity",="2.544***",="-1.435",="51.650***"
="",="(0.320)",="(9.509)",="(9.367)"
="_cons",="0.718***",="18.062***",="14.414***"
="",="(0.094)",="(4.750)",="(4.438)"
="Observations",="17197.000",="5921.000",="5921.000"
="Within R-Squared",="0.116",="0.029",="0.121"
="Standard errors in parentheses"
="* p<0.10, ** p<0.05, *** p<0.01"
